player_name,The_Pearson_coefficient
"A.C. Green",-0.618
"A.J. Guyton",-0.902
"Aaron Brooks",-0.08
"Aaron Gordon",0.1
"Aaron Gray",0.176
"Aaron Harrison",0.129
"Aaron Holiday",-0.306
"Aaron McKie",0.38
"Aaron Nesmith",-0.493
"Aaron Williams",-0.144
"Abdel Nader",0.712
"Acie Law",0.914
"Adam Keefe",-0.038
"Adam Morrison",0.435
"Admiral Schofield",0.724
"Adonal Foyle",-0.708
"Adreian Payne",-0.518
"Adrian Griffin",0.31
"AJ Price",-0.015
"Al Harrington",0.266
"Al Horford",-0.327
"Al Jefferson",-0.464
"Al Thornton",-0.963
"Al-Farouq Aminu",0.279
"Alan Anderson",-0.077
"Alan Henderson",-0.654
"Alan Williams",0.949
"Alando Tucker",-0.468
"Alec Burks",-0.053
"Alex Abrines",0.538
"Alex Caruso",0.087
"Alex Len",-0.017
"Alex Poythress",0.678
"Alexey Shved",0.935
"Alexis Ajinca",-0.596
"Alfonzo McKinnie",0.387
"Alize Johnson",0.943
"Allan Houston",0.34
"Allen Crabbe",0.341
"Allen Iverson",-0.344
"Alonzo Gee",0.384
"Alonzo Mourning",-0.243
"Alton Ford",-0.055
"Alvin Williams",-0.318
"Amal McCaskill",0.244
"Amar'e Stoudemire",-0.046
"Amir Coffey",-0.063
"Amir Johnson",0.27
"Anderson Varejao",-0.556
"Andray Blatche",0.519
"Andre Barrett",-0.574
"Andre Brown",1
"Andre Drummond",-0.713
"Andre Iguodala",-0.031
"Andre Miller",-0.358
"Andre Roberson",-0.733
"Andrea Bargnani",0.178
"Andrei Kirilenko",0.73
"Andres Nocioni",-0.297
"Andrew Bogut",-0.43
"Andrew Bynum",0.05
"Andrew DeClercq",0.547
"Andrew Goudelock",0.991
"Andrew Harrison",0.828
"Andrew Lang",-0.988
"Andrew Nicholson",0.809
"Andrew Wiggins",-0.139
"Andris Biedrins",0.735
"Anfernee Hardaway",0.546
"Anfernee Simons",0.331
"Ansu Sesay",0.611
"Antawn Jamison",-0.073
"Ante Zizic",-0.264
"Anthony Bennett",0.017
"Anthony Brown",-0.631
"Anthony Carter",-0.726
"Anthony Davis",0.215
"Anthony Edwards",0.525
"Anthony Gill",0.271
"Anthony Goldwire",-0.146
"Anthony Johnson",0.063
"Anthony Lamb",0.947
"Anthony Mason",0.671
"Anthony Miller",-0.239
"Anthony Morrow",-0.229
"Anthony Parker",0.303
"Anthony Peeler",-0.284
"Anthony Randolph",0.132
"Anthony Roberson",0.165
"Anthony Tolliver",-0.015
"Antoine Carr",0.083
"Antoine Walker",0.256
"Antoine Wright",0.574
"Antonio Daniels",-0.037
"Antonio Davis",0.182
"Antonio Harvey",0.654
"Antonio Lang",0.58
"Antonio McDyess",0.213
"Archie Goodwin",-0.318
"Arinze Onuaku",0.898
"Armen Gilliam",-0.628
"Aron Baynes",0.017
"Arron Afflalo",0.052
"Art Long",0.417
"Arvydas Sabonis",0.196
"Austin Croshere",-0.371
"Austin Daye",-0.87
"Austin Rivers",-0.405
"Avery Bradley",-0.474
"Avery Johnson",-0.274
"Awvee Storey",0.074
"Axel Toupane",-0.658
"B.J. Armstrong",-0.828
"Bam Adebayo",0.21
"Baron Davis",0.281
"Ben Davis",0.044
"Ben Gordon",0.252
"Ben McLemore",-0.178
"Ben Simmons",0.375
"Ben Wallace",-0.254
"Beno Udrih",-0.074
"Benoit Benjamin",-0.108
"Bernard James",0.088
"Bernard Robinson",0.544
"Bill Curley",0.776
"Bill Wennington",-0.263
"Billy Owens",0.503
"Billy Thomas",-0.999
"Bimbo Coles",0.621
"Bismack Biyombo",0.131
"Bison Dele",-0.998
"BJ Johnson",-0.736
"Blake Ahearn",-0.926
"Blake Griffin",-0.057
"Blue Edwards",0.558
"Bo Outlaw",0.326
"Bob Sura",0.214
"Boban Marjanovic",-0.485
"Bobby Brown",-0.634
"Bobby Jackson",0.396
"Bobby Phills",-0.123
"Bobby Portis",-0.11
"Bobby Simmons",0.752
"Bogdan Bogdanovic",-0.255
"Bojan Bogdanovic",0.648
"Bol Bol",0.312
"Bonzi Wells",0.348
"Boris Diaw",0.214
"Bostjan Nachbar",-0.197
"Brad Miller",0.575
"Brad Wanamaker",0.22
"Bradley Beal",0.663
"Brandan Wright",-0.223
"Brandon Armstrong",0.745
"Brandon Bass",0.272
"Brandon Clarke",0.713
"Brandon Goodwin",-0.408
"Brandon Ingram",0.883
"Brandon Jennings",0.521
"Brandon Knight",0.394
"Brandon Roy",0.929
"Brandon Rush",0.683
"Brandon Williams",-0.008
"Brendan Haywood",0.043
"Brent Barry",-0.558
"Brent Price",-0.731
"Brevin Knight",0.632
"Brian Cardinal",-0.02
"Brian Cook",-0.503
"Brian Evans",0.989
"Brian Grant",0.25
"Brian Roberts",0.122
"Brian Scalabrine",-0.276
"Brian Shaw",0.033
"Brian Skinner",0.64
"Briante Weber",-0.037
"Brook Lopez",-0.454
"Bruce Bowen",0.767
"Bruce Brown",0.71
"Bruno Caboclo",0.078
"Bruno Fernando",0.99
"Bruno Sundov",-0.684
"Bryant Reeves",0.033
"Bryant Stith",-0.141
"Bryce Drew",-0.405
"Bryn Forbes",0.369
"Bryon Russell",0.948
"Buddy Hield",-0.069
"Byron Mullens",0.485
"C.J. Watson",-0.053
"Cal Bowdler",0.792
"Calbert Cheaney",0.605
"Caleb Martin",-0.531
"Caleb Swanigan",-0.79
"Calvin Booth",0.131
"Cam Reddish",-0.045
"Cameron Johnson",0.516
"Cameron Payne",-0.399
"Caris LeVert",-0.746
"Carl Herrera",0.698
"Carl Landry",0.029
"Carlos Arroyo",-0.187
"Carlos Boozer",-0.222
"Carlos Delfino",0.398
"Carlos Rogers",0.236
"Carmelo Anthony",0.29
"Caron Butler",0.332
"Carsen Edwards",0.556
"Cartier Martin",0.792
"Casey Jacobsen",0.133
"Cedi Osman",-0.476
"Cedric Ceballos",-0.023
"Cedric Henderson",0.739
"Cedric Simmons",0.842
"Chandler Hutchison",-0.587
"Chandler Parsons",0.674
"Channing Frye",-0.426
"Charles Barkley",0.677
"Charles Oakley",0.006
"Charles Smith",0.016
"Charlie Bell",0.196
"Charlie Brown Jr.",0.932
"Charlie Villanueva",-0.033
"Charlie Ward",0.066
"Chase Budinger",0.36
"Chasson Randle",0.984
"Chauncey Billups",0.697
"Cheick Diallo",-0.249
"Cherokee Parks",-0.667
"Chimezie Metu",-0.62
"Chris Andersen",-0.336
"Chris Anstey",0.999
"Chris Bosh",0.476
"Chris Boucher",-0.956
"Chris Carr",-0.544
"Chris Childs",0.826
"Chris Chiozza",0.861
"Chris Copeland",0.844
"Chris Crawford",0.531
"Chris Douglas-Roberts",0.612
"Chris Dudley",0.899
"Chris Duhon",0.245
"Chris Gatling",0.952
"Chris Johnson",0.526
"Chris Kaman",-0.159
"Chris McCullough",0.293
"Chris Mihm",-0.663
"Chris Mills",-0.485
"Chris Morris",-0.549
"Chris Mullin",0.742
"Chris Paul",0.329
"Chris Quinn",0.626
"Chris Silva",0.975
"Chris Singleton",0.019
"Chris Webber",0.103
"Chris Whitney",0.214
"Chris Wilcox",-0.879
"Chris Wright",-0.996
"Christian Laettner",0.039
"Christian Wood",0.432
"Chuck Hayes",0.653
"Chuck Person",-0.931
"Chucky Atkins",0.412
"Chucky Brown",-0.179
"Chuma Okeke",0.613
"CJ McCollum",0.656
"CJ Miles",0.861
"CJ Wilcox",0.991
"Clar. Weatherspoon",0.688
"Clifford Robinson",0.672
"Clint Capela",-0.425
"Coby White",-0.94
"Cody Martin",-0.145
"Cody Zeller",-0.226
"Cole Aldrich",0.013
"Cole Anthony",-0.836
"Collin Sexton",-0.296
"Corey Benjamin",0.937
"Corey Brewer",0.101
"Corey Maggette",0.592
"Corie Blount",-0.306
"Corliss Williamson",0.445
"Cory Alexander",0.654
"Cory Joseph",0.182
"Courtney Alexander",-0.454
"Courtney Lee",-0.574
"Craig Smith",0.867
"Cristiano Felicio",-0.765
"Cuttino Mobley",0.201
"D.J. Augustin",-0.344
"D.J. Wilson",-0.332
"D'Angelo Russell",-0.321
"Daequan Cook",-0.666
"Dahntay Jones",-0.046
"DaJuan Summers",-0.933
"Dajuan Wagner",-0.713
"Dale Davis",0.697
"Dale Ellis",0.272
"Dalibor Bagaric",0.798
"Damian Jones",-0.452
"Damian Lillard",0.666
"Damien Wilkins",0.233
"Damion James",0.999
"Damion Lee",-0.865
"Damjan Rudez",-0.441
"Damon Jones",-0.454
"Damon Stoudamire",0.408
"Damone Brown",-0.783
"Damyean Dotson",0.623
"Dan Dickau",-0.713
"Dan Gadzuric",0.435
"Dan Langhi",0.208
"Dan Majerle",-0.107
"Dan Schayes",0.941
"Dana Barros",-0.859
"Daniel Gafford",0.178
"Daniel Gibson",-0.133
"Daniel Orton",-0.994
"Daniel Santiago",0.469
"Daniel Theis",-0.998
"Danilo Gallinari",0.033
"Danny Ferry",-0.073
"Danny Fortson",-0.053
"Danny Granger",-0.026
"Danny Green",0.096
"Danny Manning",0.743
"Dante Cunningham",-0.689
"Dante Exum",0.616
"Danuel House Jr.",-0.773
"DaQuan Jeffries",0.881
"Dario Saric",-0.777
"Darius Bazley",-0.374
"Darius Garland",0.967
"Darius Miles",0.036
"Darius Miller",0.726
"Darius Morris",-0.369
"Darius Songaila",0.3
"Darko Milicic",-0.767
"Darnell Jackson",-0.337
"Darrell Armstrong",0.565
"Darrell Arthur",0.178
"Darren Collison",0.805
"Darrick Martin",0.122
"Darrun Hilliard",0.946
"Darvin Ham",0.297
"David Harrison",-0.54
"David Lee",-0.769
"David Nwaba",-0.706
"David Robinson",0.627
"David Vaughn",-0.326
"David Wesley",0.254
"David West",0.18
"David Wingate",-0.004
"Davis Bertans",-0.287
"Davon Reed",-0.714
"De'Aaron Fox",0.775
"De'Andre Hunter",0.735
"De'Anthony Melton",0.396
"Dean Garrett",-0.474
"Dean Wade",-0.596
"Deandre Ayton",-0.625
"DeAndre Jordan",-0.226
"DeAndre Liggins",0.698
"DeAndre' Bembry",-0.773
"Dee Brown",0.21
"Dejounte Murray",0.568
"DeJuan Blair",0.795
"Dell Curry",0.332
"Delon Wright",-0.62
"Delonte West",-0.408
"DeMar DeRozan",0.12
"DeMarcus Cousins",0.324
"DeMarre Carroll",0.656
"Demetrius Jackson",0.776
"Deni Avdija",0.984
"Dennis Rodman",0.689
"Dennis Schroder",0.154
"Dennis Scott",-0.503
"Dennis Smith Jr.",-0.053
"Denzel Valentine",-0.156
"Deonte Burton",0.878
"Derek Anderson",-0.184
"Derek Fisher",0.135
"Derek Harper",-0.068
"Derek Strong",0.555
"DerMarr Johnson",0.271
"Deron Williams",0.229
"Derrick Brown",-0.875
"Derrick Coleman",0.616
"Derrick Dial",0.258
"Derrick Favors",-0.521
"Derrick Jones Jr.",-0.096
"Derrick McKey",-0.01
"Derrick Rose",0.078
"Derrick Walton Jr.",-0.99
"Derrick White",-0.838
"Derrick Williams",0.406
"DeSagana Diop",-0.233
"DeShawn Stevenson",0.149
"Desmond Bane",0.179
"Desmond Mason",0.495
"Detlef Schrempf",0.968
"Devean George",-0.419
"Devin Booker",0.621
"Devin Brown",-0.571
"Devin Ebanks",0.32
"Devin Harris",-0.084
"Devin Vassell",0.982
"Devon Dotson",0.999
"Devontae Cacok",-0.961
"Devonte' Graham",0.422
"Dewayne Dedmon",0.123
"Dexter Pittman",-0.996
"Deyonta Davis",-0.334
"Dickey Simpkins",0.961
"Dikembe Mutombo",-0.21
"Dillon Brooks",-0.029
"Dion Glover",0.256
"Dion Waiters",0.127
"Dirk Nowitzki",0.483
"DJ Mbenga",0.015
"DJ White",0.983
"Domantas Sabonis",0.753
"Dominic McGuire",0.199
"Dominique Jones",-0.772
"Don MacLean",0.726
"Don Reid",-0.689
"Donald Sloan",-0.482
"Donatas Motiejunas",-0.584
"Donnell Harvey",-0.544
"Donny Marshall",-0.918
"Donovan Mitchell",0.406
"Donte DiVincenzo",-0.376
"Donte Greene",0.917
"Donyell Marshall",-0.073
"Dorell Wright",-0.55
"Dorian Finney-Smith",-0.137
"Doug Christie",0.345
"Doug McDermott",-0.022
"Doug Overton",0.155
"Doug West",0.777
"Dragan Bender",0.167
"Draymond Green",0.175
"Drew Barry",0.447
"Drew Eubanks",-0.632
"Drew Gooden",0.2
"Duane Causwell",0.054
"Duane Ferrell",0.492
"Duncan Robinson",0.192
"Dwayne Bacon",0.127
"Dwayne Jones",0.836
"Dwight Buycks",0.27
"Dwight Howard",-0.488
"Dwight Powell",-0.821
"Dwyane Wade",0.474
"Dylan Windler",0.972
"E'Twaun Moore",-0.577
"Earl Barron",0.039
"Earl Boykins",0.275
"Earl Clark",-0.165
"Earl Watson",0.53
"Ed Davis",0.06
"Eddie Gill",-0.645
"Eddie Griffin",0.722
"Eddie House",-0.321
"Eddie Johnson",-0.923
"Eddie Jones",0.596
"Eddie Robinson",-0.17
"Eddy Curry",-0.449
"Edmond Sumner",0.65
"Eduardo Najera",-0.232
"Ekpe Udoh",-0.095
"Elden Campbell",0.229
"Eldridge Recasner",0.544
"Elfrid Payton",0.579
"Elijah Millsap",-0.755
"Elliot Perry",-0.522
"Elliot Williams",0.701
"Elton Brand",0.457
"Emanual Davis",-0.586
"Emeka Okafor",-0.595
"Emmanuel Mudiay",0.363
"Enes Kanter",-0.063
"Eric Bledsoe",0.68
"Eric Gordon",-0.44
"Eric Maynor",-0.535
"Eric Montross",-0.515
"Eric Moreland",0.984
"Eric Murdock",0.316
"Eric Paschall",-0.961
"Eric Piatkowski",0.343
"Eric Snow",0.785
"Eric Williams",-0.168
"Erick Dampier",-0.019
"Erick Strickland",-0.203
"Ersan Ilyasova",-0.395
"Ervin Johnson",-0.151
"Etan Thomas",0.279
"Etdrick Bohannon",0.117
"Evan Eschmeyer",0.752
"Evan Fournier",0.642
"Evan Turner",0.096
"Fabricio Oberto",-0.743
"Facundo Campazzo",-0.752
"Felipe Lopez",-0.06
"Felton Spencer",0.855
"Festus Ezeli",0.978
"Flip Murray",-0.508
"Francisco Elson",-0.301
"Francisco Garcia",0.235
"Frank Jackson",-0.857
"Frank Kaminsky",-0.469
"Frank Mason",0.727
"Frank Ntilikina",-0.275
"Frank Williams",0.636
"Fred Hoiberg",0.053
"Fred Jones",0.319
"Fred VanVleet",0.092
"Furkan Korkmaz",0.715
"Gabe Vincent",-0.924
"Garrett Temple",-0.394
"Garrison Mathews",-0.176
"Gary Clark",0.747
"Gary Grant",0.591
"Gary Harris",0.034
"Gary Neal",0.348
"Gary Payton",0.436
"Gary Payton II",-0.026
"Gary Trent",-0.549
"Gary Trent Jr.",-0.503
"George Hill",-0.099
"George Lynch",0.7
"George McCloud",-0.741
"Georges Niang",-0.922
"Gerald Green",-0.033
"Gerald Henderson",0.415
"Gerald Wallace",0.544
"Gerald Wilkins",0.896
"Gerard King",-0.577
"Gheorghe Muresan",-0.985
"Giannis Antetokounmpo",0.871
"Gilbert Arenas",0.222
"Glen Davis",-0.618
"Glen Rice",0.471
"Glenn Robinson",0.275
"Glenn Robinson III",-0.136
"Goga Bitadze",0.123
"Goran Dragic",0.731
"Gordan Giricek",-0.813
"Gordon Hayward",0.297
"Gorgui Dieng",-0.028
"Grant Hill",0.299
"Grant Long",0.753
"Grant Williams",0.841
"Grayson Allen",-0.957
"Greg Anthony",0.158
"Greg Buckner",-0.32
"Greg Foster",-0.644
"Greg Minor",0.995
"Greg Monroe",-0.25
"Greg Oden",0.952
"Greg Ostertag",0.658
"Greg Smith",0.272
"Greg Stiemsma",-0.18
"Greivis Vasquez",0.846
"Gustavo Ayon",-1
"Hakeem Olajuwon",0.818
"Hakim Warrick",-0.406
"Hamady Ndiaye",-0.846
"Hamed Haddadi",0.565
"Hamidou Diallo",0.784
"Harrison Barnes",-0.27
"Harry Giles III",0.565
"Harvey Grant",-0.984
"Hasheem Thabeet",0.617
"Hassan Whiteside",0.896
"Haywood Highsmith",0.164
"Haywoode Workman",-0.616
"Hedo Turkoglu",0.22
"Henry Ellenson",0.435
"Henry Sims",0.984
"Henry Walker",0.866
"Herb Williams",-0.002
"Hersey Hawkins",0.741
"Hilton Armstrong",-0.009
"Hollis Thompson",-0.276
"Horace Grant",0.301
"Hot Rod Williams",0.946
"Howard Eisley",0.246
"Hubert Davis",0.797
"Ian Clark",0.201
"Ian Mahinmi",0.602
"Ignas Brazdeikis",-0.997
"Ike Austin",0.781
"Ike Diogu",0.808
"Iman Shumpert",-0.374
"Ime Udoka",0.013
"Immanuel Quickley",-0.426
"Ira Bowman",0.955
"Ira Newble",0.356
"Isaac Bonga",-0.77
"Isaac Okoro",-1
"Isaiah Canaan",0.536
"Isaiah Hartenstein",0.471
"Isaiah Joe",0.788
"Isaiah Rider",-0.405
"Isaiah Roby",0.995
"Isaiah Stewart",-0.098
"Isaiah Thomas",0.065
"Ish Smith",0.228
"Ivica Zubac",-0.79
"J.J. Barea",-0.251
"J.R. Reid",-0.361
"Ja Morant",0.629
"Jabari Parker",-0.372
"Jabari Smith",-0.462
"Jackie Butler",0.977
"Jacque Vaughn",0.171
"Jaden McDaniels",0.654
"Jae Crowder",-0.272
"Jae'Sean Tate",-0.309
"Jahidi White",-0.624
"Jahlil Okafor",-0.945
"JaKarr Sampson",0.047
"Jake Layman",-0.118
"Jake Tsakalidis",0.635
"Jake Voskuhl",-0.181
"Jakob Poeltl",0.22
"Jalen Brunson",0.397
"Jalen McDaniels",-0.542
"Jalen Rose",-0.513
"Jalen Smith",0.877
"Jamaal Magloire",0.282
"Jamaal Tinsley",0.517
"Jamal Crawford",0.345
"Jamal Mashburn",-0.557
"Jamal Murray",0.482
"Jamal Sampson",-0.371
"Jamario Moon",0.229
"Jameer Nelson",0.455
"James Anderson",0.653
"James Ennis III",-0.031
"James Harden",0.264
"James Johnson",0.17
"James Jones",-0.484
"James Michael McAdoo",-0.362
"James Nunnally",-0.841
"James Posey",-0.201
"James Robinson",0.422
"James Singleton",0.159
"James White",1
"James Young",0.572
"Jamie Feick",-0.474
"Jamison Brewer",0.343
"JaMychal Green",-0.346
"Jan Vesely",0.273
"Jannero Pargo",0.288
"Jared Cunningham",0.747
"Jared Dudley",0.673
"Jared Harper",0.965
"Jared Jeffries",0.544
"Jared Sullinger",-0.181
"Jarell Eddie",0.852
"Jarell Martin",0.346
"Jaren Jackson",-0.363
"Jaren Jackson Jr.",-0.648
"Jarnell Stokes",-0.821
"Jarred Vanderbilt",-0.71
"Jarrell Brantley",0.696
"Jarrett Allen",0.555
"Jarrett Culver",-0.392
"Jarrett Jack",-0.756
"Jarron Collins",0.731
"Jarvis Hayes",-0.225
"Jason Caffey",-0.582
"Jason Collier",0.061
"Jason Collins",0.158
"Jason Hart",-0.432
"Jason Kapono",0.516
"Jason Kidd",-0.45
"Jason Maxiell",-0.213
"Jason Richardson",0.111
"Jason Smith",0.166
"Jason Terry",-0.069
"Jason Thompson",0.049
"Jason Williams",0.051
"JaVale McGee",-0.399
"Javonte Green",-0.811
"Jawad Williams",0.447
"Jaxson Hayes",0.267
"Jay Scrubb",-0.927
"Jaylen Brown",0.836
"Jaylen Hoard",0.355
"Jaylen Morris",-1
"Jaylen Nowell",0.556
"Jayson Tatum",0.427
"Jayson Williams",-0.424
"Jeff Adrien",0.227
"Jeff Ayres",-0.75
"Jeff Foster",0.158
"Jeff Green",-0.734
"Jeff Hornacek",0.355
"Jeff McInnis",0.743
"Jeff Teague",0.326
"Jeff Trepagnier",0.524
"Jeff Withey",-0.838
"Jeffery Taylor",-0.99
"Jelani McCoy",0.52
"Jerami Grant",0.054
"Jeremy Evans",0.19
"Jeremy Lamb",-0.546
"Jeremy Lin",0.735
"Jeremy Pargo",0.958
"Jeremy Richardson",-0.894
"Jeremy Tyler",-0.997
"Jerian Grant",-0.366
"Jermaine Jackson",-0.657
"Jermaine O'Neal",0.251
"Jerome James",-0.408
"Jerome Kersey",-0.098
"Jerome Moiso",-0.784
"Jerome Robinson",-0.646
"Jerome Williams",-0.814
"Jerry Stackhouse",0.555
"Jerryd Bayless",-0.166
"Jevon Carter",-0.833
"Jim Jackson",-0.036
"Jim McIlvaine",0.862
"Jimmer Fredette",0.2
"Jimmy Butler",0.681
"Jimmy Oliver",0.427
"Jiri Welsch",-0.625
"JJ Hickson",-0.454
"JJ Redick",0.426
"Joakim Noah",0.229
"Jodie Meeks",-0.471
"Joe Dumars",-0.204
"Joe Harris",0.427
"Joe Ingles",0.485
"Joe Johnson",-0.005
"Joe Kleine",0.05
"Joe Smith",0.299
"Joe Stephens",0.054
"Joe Wolf",0.612
"Joe Young",-0.967
"Joel Anthony",-0.383
"Joel Embiid",0.6
"Joel Freeland",-0.838
"Joel Przybilla",0.63
"Joey Dorsey",0.215
"Joey Graham",-0.689
"Joffrey Lauvergne",0.514
"Johan Petro",-0.714
"John Amaechi",0.997
"John Collins",0.737
"John Crotty",0.186
"John Henson",-0.718
"John Jenkins",0.658
"John Konchar",-0.196
"John Lucas III",0.73
"John Salmons",0.802
"John Starks",0.591
"John Stockton",-0.604
"John Thomas",0.619
"John Wall",0.484
"John Wallace",-0.526
"Johnathan Motley",-0.583
"Johnny Newman",-0.285
"Johnny O'Bryant III",0.376
"Johnny Taylor",-0.663
"Jon Barry",0.304
"Jon Brockman",-0.949
"Jon Leuer",0.147
"Jonas Jerebko",-0.116
"Jonas Valanciunas",0.253
"Jonathan Bender",-0.596
"Jonathan Isaac",0.141
"Jonathon Simmons",0.55
"Jonny Flynn",0.941
"Jordan Bell",0.885
"Jordan Clarkson",0.625
"Jordan Crawford",-0.596
