player_name,The_Pearson_coefficient
"Jordan Farmar",0.465
"Jordan Hamilton",-0.914
"Jordan Hill",0.121
"Jordan McLaughlin",0.607
"Jordan McRae",-0.005
"Jordan Mickey",-0.843
"Jordan Nwora",0.741
"Jordan Poole",0.828
"Jorge Gutierrez",0.87
"Jose Calderon",0.375
"Josh Boone",0.981
"Josh Childress",0.95
"Josh Davis",-0.52
"Josh Green",0.996
"Josh Harrellson",-0.706
"Josh Hart",0.253
"Josh Howard",0.463
"Josh Huestis",0.959
"Josh Jackson",-0.209
"Josh McRoberts",0.653
"Josh Okogie",0.075
"Josh Powell",-0.342
"Josh Richardson",-0.325
"Josh Smith",0.699
"JR Smith",0.512
"Jrue Holiday",-0.03
"Juan Dixon",0.052
"Juan Toscano-Anderson",-0.251
"Juancho Hernangomez",0.287
"Jud Buechler",0.366
"Julian Wright",-0.234
"Julius Randle",0.786
"Julyan Stone",-0.347
"Jumaine Jones",-0.558
"Junior Harrington",0.094
"Justin Anderson",0.391
"Justin Hamilton",0.864
"Justin Harper",-0.751
"Justin Holiday",-0.672
"Justin Jackson",0.366
"Justin Patton",0.399
"Justin Reed",-1
"Justin Robinson",-0.324
"Justise Winslow",-0.481
"Jusuf Nurkic",-0.347
"Juwan Howard",0.38
"Juwan Morgan",-0.927
"Kadeem Allen",0.972
"Kaniel Dickens",0.795
"Kareem Rush",0.698
"Karl Malone",0.552
"Karl-Anthony Towns",-0.063
"Kawhi Leonard",0.304
"Kedrick Brown",-0.875
"Keita Bates-Diop",0.732
"Keith Askins",0.611
"Keith Bogans",-0.735
"Keith Closs",0.464
"Keith McLeod",-0.462
"Keith Van Horn",-0.439
"Kelan Martin",0.797
"Keldon Johnson",-0.688
"Kelenna Azubuike",-0.805
"Kelly Olynyk",-0.723
"Kelly Oubre Jr.",0.633
"Kelvin Cato",-0.719
"Kemba Walker",0.262
"Kendall Gill",0.367
"Kendall Marshall",-0.003
"Kendrick Nunn",-0.943
"Kendrick Perkins",0.455
"Kenneth Faried",-0.093
"Kenny Anderson",0.738
"Kenny Thomas",0.718
"Kenrich Williams",0.841
"Kent Bazemore",-0.06
"Kentavious Caldwell-Pope",-0.403
"Kenyon Martin",0.25
"Kenyon Martin Jr.",0.909
"Keon Clark",0.746
"Kerry Kittles",0.365
"Kevin Durant",0.297
"Kevin Edwards",0.963
"Kevin Garnett",0.467
"Kevin Huerter",0.914
"Kevin Johnson",-0.066
"Kevin Knox II",-0.496
"Kevin Love",-0.024
"Kevin Martin",0.403
"Kevin Ollie",0.223
"Kevin Porter Jr.",0.079
"Kevin Seraphin",-0.122
"Kevin Willis",0.766
"Kevon Looney",-0.32
"Keyon Dooling",-0.326
"Khalid Reeves",0.205
"Khem Birch",0.345
"Khris Middleton",0.682
"Khyri Thomas",0.934
"Killian Hayes",-0.32
"Kira Lewis Jr.",-0.102
"Kirk Hinrich",0.457
"Kirk Snyder",-0.822
"KJ McDaniels",-0.992
"Klay Thompson",0.314
"Kobe Bryant",-0.042
"Kobi Simmons",1
"Kornel David",-0.966
"Kosta Koufos",-0.631
"Kostas Antetokounmpo",-0.969
"Kris Dunn",0.35
"Kris Humphries",-0.261
"Kristaps Porzingis",0.201
"Kurt Thomas",-0.574
"Kwame Brown",0.037
"Kyle Anderson",0.181
"Kyle Guy",-0.88
"Kyle Korver",-0.681
"Kyle Kuzma",0.035
"Kyle Lowry",0.31
"Kyle O'Quinn",-0.45
"Kyle Singler",-0.484
"Kyle Weaver",-0.631
"Kyrie Irving",0.184
"Kyrylo Fesenko",0.513
"KZ Okpala",-0.407
"Lamar Odom",0.06
"Lamar Stevens",0.81
"LaMarcus Aldridge",-0.222
"LaMelo Ball",0.204
"Lamond Murray",-0.379
"Lance Stephenson",-0.12
"Lance Thomas",-0.207
"Landry Fields",0.079
"Landry Shamet",-0.748
"Langston Galloway",0.51
"LaPhonso Ellis",0.532
"Laron Profit",0.767
"Larry Hughes",0.621
"Larry Johnson",0.176
"Larry Nance Jr.",-0.063
"Larry Robinson",-0.196
"Larry Sanders",-0.775
"Latrell Sprewell",0.303
"Lauri Markkanen",0.223
"Lavor Postell",-0.253
"Lavoy Allen",-0.208
"Lawrence Funderburke",0.483
"Lazar Hayward",0.89
"Leandro Barbosa",-0.05
"LeBron James",0.199
"Lee Mayberry",-0.203
"Lee Nailon",-0.776
"Leon Powe",0.367
"Lester Hudson",-0.175
"Linas Kleiza",-0.688
"Lindsey Hunter",0.421
"Linton Johnson",0.825
"Litterial Green",-0.945
"Lonnie Walker IV",0.07
"Lonny Baxter",-0.672
"Lonzo Ball",0.443
"Loren Woods",0.447
"Lorenzen Wright",0.562
"Lorenzo Brown",-0.763
"Lorenzo Williams",-1
"Lou Amundson",-0.133
"Lou Williams",0.257
"Louis King",0.665
"Loy Vaught",0.644
"Luc Longley",0.81
"Luc Mbah a Moute",-0.217
"Lucas Nogueira",-0.983
"Lucious Harris",0.505
"Luguentz Dort",0.713
"Luis Scola",-0.491
"Luka Doncic",0.807
"Luka Samanic",0.992
"Luke Babbitt",-0.872
"Luke Jackson",-0.031
"Luke Kennard",-0.764
"Luke Kornet",-0.446
"Luke Ridnour",0.486
"Luke Walton",0.38
"Luol Deng",0.137
"Luther Head",0.287
"Maceo Baston",0.23
"Maciej Lampe",-0.631
"Mahmoud Abdul-Rauf",0.103
"Malachi Flynn",-0.362
"Malachi Richardson",0.805
"Malcolm Brogdon",-0.364
"Malcolm Lee",-0.977
"Malcolm Miller",0.653
"Malcolm Thomas",0.403
"Malik Allen",0.687
"Malik Beasley",0.278
"Malik Monk",-0.446
"Malik Rose",0.351
"Malik Sealy",0.097
"Mamadi Diakite",0.524
"Mamadou N'diaye",-0.521
"Manny Harris",-0.979
"Manu Ginobili",0.503
"Marc Gasol",-0.614
"Marc Jackson",0.168
"Marcin Gortat",-0.368
"Marco Belinelli",0.19
"Marcus Banks",0.089
"Marcus Camby",0.232
"Marcus Fizer",-0.29
"Marcus Haislip",-0.046
"Marcus Morris",-0.817
"Marcus Morris Sr.",-0.123
"Marcus Smart",-0.34
"Marcus Thornton",0.623
"Marcus Williams",0.398
"Mardy Collins",-0.035
"Mario Bennett",-0.955
"Mario Chalmers",-0.048
"Mario Elie",0.465
"Mario Hezonja",-0.324
"Mario West",0.171
"Mark Blount",-0.232
"Mark Bryant",0.444
"Mark Davis",0.458
"Mark Hendrickson",-0.792
"Mark Jackson",0.131
"Mark Madsen",0.334
"Mark Pope",-0.6
"Mark Strickland",-0.126
"Mark West",0.596
"Markel Brown",0.897
"Markelle Fultz",0.061
"Markieff Morris",-0.118
"Marko Jaric",-0.204
"Marquese Chriss",-0.719
"Marquis Daniels",0.034
"Marquis Teague",1
"Marreese Speights",-0.025
"MarShon Brooks",0.942
"Martell Webster",0.812
"Marty Conlon",-0.391
"Marvin Bagley III",-0.593
"Marvin Williams",-0.414
"Mason Plumlee",-0.335
"Mateen Cleaves",0.06
"Matisse Thybulle",0.127
"Matt Barnes",0.273
"Matt Bonner",-0.498
"Matt Bullard",-0.276
"Matt Carroll",0.863
"Matt Geiger",0.9
"Matt Harpring",0.89
"Matt Maloney",0.783
"Matt Thomas",-0.527
"Matthew Dellavedova",0.544
"Maurice Ager",-0.363
"Maurice Evans",-0.3
"Maurice Harkless",-0.289
"Maurice Taylor",0.722
"Max Strus",-0.746
"Maxi Kleber",-0.437
"Mehmet Okur",0.571
"Melvin Ely",-0.48
"Melvin Frazier Jr.",-0.972
"Mengke Bateer",-0.932
"Metta World Peace",0.393
"Meyers Leonard",-0.103
"Mfiondu Kabengele",1
"Michael Beasley",0.062
"Michael Bradley",0.106
"Michael Cage",-0.85
"Michael Carter-Williams",-0.1
"Michael Curry",0.665
"Michael Dickerson",-0.221
"Michael Doleac",0.042
"Michael Finley",-0.448
"Michael Hawkins",-0.688
"Michael Jordan",-0.072
"Michael Kidd-Gilchrist",0.559
"Michael Olowokandi",0.437
"Michael Porter Jr.",0.928
"Michael Redd",0.034
"Michael Ruffin",-0.346
"Michael Smith",-0.062
"Michael Stewart",-0.652
"Michael Sweetney",-0.754
"Mickael Gelabale",-0.81
"Mickael Pietrus",0.089
"Mikal Bridges",-0.066
"Mike Bibby",0.491
"Mike Conley",0.262
"Mike Dunleavy",-0.191
"Mike Harris",-0.366
"Mike James",0.187
"Mike Miller",0.313
"Mike Muscala",-0.128
"Mike Scott",0.276
"Mike Wilks",-0.128
"Mikki Moore",0.031
"Miles Bridges",0.078
"Miles Plumlee",-0.463
"Milt Palacio",-0.116
"Mirza Teletovic",0.008
"Mitch Richmond",0.964
"Mitchell Butler",0.705
"Mitchell Robinson",0.573
"Miye Oni",0.485
"Mo Bamba",-0.205
"Mo Williams",0.101
"Monta Ellis",-0.016
"Monte Morris",-0.876
"Montrezl Harrell",-0.283
"Monty Williams",-0.125
"Moochie Norris",0.332
"Mookie Blaylock",0.819
"Moritz Wagner",-0.125
"Morris Almond",0.145
"Morris Peterson",0.605
"Moses Brown",-0.295
"Mouhamed Sene",0.701
"Muggsy Bogues",0.929
"Mychal Mulder",0.374
"Myles Turner",0.041
"Naji Marshall",-0.276
"Nassir Little",0.371
"Nate Robinson",0.97
"Nate Wolters",0.917
"Nathan Knight",-0.831
"Naz Mitrou-Long",0.997
"Naz Reid",-0.134
"Nazr Mohammed",0.333
"Nemanja Bjelica",-0.397
"Nenad Krstic",-0.099
Nene,-0.891
"Nerlens Noel",-0.028
"Nick Anderson",0.573
"Nick Collison",-0.195
"Nick Richards",0.985
"Nick Van Exel",-0.265
"Nick Young",0.185
"Nickeil Alexander-Walker",-0.908
"Nicolas Batum",-0.039
"Nik Stauskas",0.74
"Nikola Jokic",0.496
"Nikola Mirotic",0.136
"Nikola Pekovic",0.095
"Nikola Vucevic",0.426
"Nikoloz Tskitishvili",0.335
"Noah Vonleh",-0.777
"Norman Powell",0.611
"Norris Cole",-0.745
"Norvel Pelle",0.4
"O.J. Mayo",0.469
"Obi Toppin",0.667
"Obinna Ekezie",-0.491
"OG Anunoby",-0.177
"Okaro White",-0.111
"Olden Polynice",-0.14
"Oleksiy Pecherov",-0.811
"Oliver Miller",-0.828
"Olumide Oyedeji",0.967
"Omer Asik",0.653
"Omri Casspi",-0.158
"Onyeka Okongwu",-0.418
"Orien Greene",0.732
"Orlando Johnson",0.094
"Oshae Brissett",0.051
"Othella Harrington",0.16
"Othyus Jeffers",-0.989
"Otis Thorpe",0.681
"Otto Porter Jr.",-0.259
"P.J. Brown",0.026
"P.J. Tucker",0.473
"P.J. Washington",-0.969
"Pablo Prigioni",-0.46
"Pape Sow",-0.938
"Pascal Siakam",0.217
"Pat Burke",0.432
"Pat Connaughton",-0.809
"Pat Garrity",0.698
"Patrick Beverley",-0.347
"Patrick Ewing",0.705
"Patrick McCaw",-0.933
"Patrick O'Bryant",0.131
"Patrick Patterson",-0.171
"Patrick Williams",-0.696
"Patty Mills",-0.44
"Pau Gasol",0.021
"Paul Davis",0.653
"Paul George",0.043
"Paul Millsap",0.195
"Paul Pierce",0.087
"Paul Reed",-0.758
"Paul Shirley",-0.755
"Paul Watson",0.629
"Payton Pritchard",-0.859
"Peja Stojakovic",0.516
"Perry Jones III",-0.95
"Pervis Ellison",0.229
"Pete Chilcutt",0.607
"Phil Pressey",0.924
"PJ Dozier",0.291
"PJ Tucker",0.569
"Pooh Richardson",0.683
"Popeye Jones",0.674
"Pops Mensah-Bonsu",0.839
"Precious Achiuwa",0.843
"Predrag Drobnjak",-0.609
"Primoz Brezec",0.118
"Quentin Richardson",-0.094
"Quincy Acy",0.637
"Quincy Douby",0.911
"Quincy Lewis",-0.37
"Quincy Miller",-0.261
"Quincy Pondexter",-0.351
"Quinn Cook",-0.68
"Quinndary Weatherspoon",0.737
"Quinton Ross",0.579
"Qyntel Woods",-0.451
"R.J. Hampton",-0.476
"Raef LaFrentz",0.172
"Rafael Araujo",0.322
"Rafer Alston",0.744
"Raja Bell",0.039
"Rajon Rondo",-0.026
"Ramon Sessions",0.708
"Randolph Morris",0.707
"Randy Brown",0.787
"Randy Foye",0.38
"Randy Livingston",0.846
"Rashad McCants",0.826
"Rashad Vaughn",-0.087
"Rashard Lewis",0.239
"Rasheed Wallace",-0.253
"Rasho Nesterovic",-0.163
"Rasual Butler",-0.076
"Raul Neto",-0.557
"Ray Allen",-0.48
"Ray McCallum",0.273
"Rayjon Tucker",-0.907
"Raymond Felton",-0.138
"Reece Gaines",-0.941
"Reggie Bullock",-0.075
"Reggie Evans",0.245
"Reggie Jackson",0.039
"Reggie Jordan",0.428
"Reggie Miller",0.004
"Reggie Slater",-0.101
"Reggie Williams",0.477
"Renaldo Balkman",0.351
"Rex Chapman",0.432
"Rex Walters",0.875
"Richard Hamilton",0.238
"Richard Jefferson",0.083
"Richaun Holmes",-0.472
"Richie Frahm",-0.711
"Rick Brunson",-0.6
"Rick Fox",0.598
"Rick Mahorn",0.525
"Ricky Davis",0.124
"Ricky Rubio",0.073
"Rik Smits",0.911
"RJ Barrett",0.102
"RJ Hunter",0.946
"Robert Covington",-0.416
"Robert Horry",0.067
"Robert Pack",0.517
"Robert Sacre",0.73
"Robert Swift",0.148
"Robert Traylor",-0.089
"Robert Williams III",0.016
"Robin Lopez",-0.391
"Rod Strickland",0.719
"Rodions Kurucs",0.34
"Rodney Buford",0.144
"Rodney Carney",-0.69
"Rodney Hood",0.165
"Rodney McGruder",0.596
"Rodney Rogers",0.618
"Rodney Stuckey",0.109
"Rodney White",-0.378
"Rodrick Rhodes",-0.724
"Rodrigue Beaubois",0.501
"Roger Mason Jr.",0.118
"Romeo Langford",0.816
"Ron Baker",0.596
"Ron Harper",-0.867
"Ron Mercer",0.554
"Ronald Dupree",-0.08
"Rondae Hollis-Jefferson",-0.34
"Ronnie Brewer",0.948
"Ronnie Price",0.661
"Ronny Turiaf",0.785
"Rony Seikaly",0.969
"Roshown McLeod",-0.493
"Roy Hibbert",-0.495
"Roy Rogers",0.989
"Royal Ivey",-0.8
"Royce O'Neale",-0.918
"Ruben Boumtje-Boumtje",0.996
"Ruben Patterson",0.28
"Rudy Fernandez",0.101
"Rudy Gay",0.236
"Rudy Gobert",0.844
"Rui Hachimura",0.776
"Russell Westbrook",0.788
"Rusty LaRue",-0.02
"Ryan Anderson",0.033
"Ryan Arcidiacono",-0.217
"Ryan Bowen",-0.267
"Ryan Gomes",0.777
"Ryan Hollins",-0.455
"Ryan Humphrey",-0.306
"Ryan Kelly",0.058
"Saben Lee",0.107
"Saddiq Bey",-0.925
"Salah Mejri",-0.8
"Salim Stoudamire",-0.771
"Sam Cassell",0.329
"Sam Dekker",0.997
"Sam Jacobson",1
"Sam Mack",0.42
"Sam Merrill",-0.87
"Sam Mitchell",0.286
"Sam Perkins",0.956
"Sam Young",0.302
"Samaki Walker",0.576
"Samardo Samuels",0.695
"Samuel Dalembert",-0.253
"Sasha Pavlovic",0.16
"Sasha Vujacic",0.166
"Scot Pollard",-0.142
"Scott Burrell",0.641
"Scott Padgett",0.21
"Scott Williams",-0.599
"Scottie Pippen",0.387
"Scotty Hopson",-0.713
"Sean Elliott",0.11
"Sean Kilpatrick",0.45
"Sean Marks",0.264
"Sean May",0.185
"Sean Rooks",0.729
"Sean Williams",0.76
"Sebastian Telfair",0.588
"Sekou Doumbouya",0.99
"Semi Ojeleye",-0.099
"Serge Ibaka",0.312
"Sergey Karasev",-0.953
"Sergio Rodriguez",0.268
"Seth Curry",0.057
"Shabazz Muhammad",-0.095
"Shabazz Napier",0.109
"Shai Gilgeous-Alexander",0.638
"Shake Milton",0.381
"Shammond Williams",-0.095
"Shandon Anderson",0.549
"Shane Battier",-0.172
"Shane Larkin",-0.323
"Shannon Brown",-0.244
"Shaquille Harrison",0.746
"Shaquille O'Neal",-0.615
"Shareef Abdur-Rahim",0.533
"Shaun Livingston",-0.371
"Shavlik Randolph",-0.134
"Shawn Bradley",-0.681
"Shawn Kemp",0.574
"Shawn Marion",0.265
"Shawn Respert",-0.998
"Shawne Williams",0.005
"Shawnelle Scott",-0.861
"Shelden Williams",-0.355
"Shelvin Mack",0.181
"Sherman Douglas",-0.035
"Sindarius Thornwell",0.894
"Skal Labissiere",-0.622
"Skylar Mays",0.057
"Slava Medvedenko",0.452
"Smush Parker",-0.252
"Solomon Hill",0.692
"Solomon Jones",0.67
"Sonny Weems",-0.675
"Speedy Claxton",-0.243
"Spencer Dinwiddie",-0.081
"Spencer Hawes",0.322
"Stacey Augmon",0.417
"Stanley Johnson",-0.556
"Stanley Roberts",0.282
"Stephen Curry",0.67
"Stephen Graham",0.749
"Stephen Jackson",0.729
"Stephon Marbury",0.537
"Sterling Brown",0.895
"Steve Blake",0.079
"Steve Francis",0.35
"Steve Kerr",-0.235
"Steve Nash",0.571
"Steve Novak",0.224
"Steven Adams",0.439
"Steven Hunter",-0.583
"Steven Smith",0.15
"Stojko Vrankovic",-0.736
"Stromile Swift",0.484
"Sundiata Gaines",0.816
"Svi Mykhailiuk",0.585
"T.J. Ford",0.624
"T.J. McConnell",0.212
"T.J. Warren",0.192
"Tacko Fall",0.714
"Taj Gibson",-0.759
"Talen Horton-Tucker",-0.348
"Tamar Slay",-0.994
"Tarence Kinsey",-0.826
"Tarik Black",0.514
"Tariq Abdul-Wahad",0.1
"Taurean Prince",-0.44
"Tayshaun Prince",0.463
"Terance Mann",0.586
"Terence Davis",-0.965
"Terence Morris",0.963
"Terrance Ferguson",0.618
"Terrell Brandon",0.411
"Terrence Jones",-0.971
"Terrence Ross",0.26
"Terrence Williams",-0.957
"Terry Cummings",-0.001
"Terry Davis",0.949
"Terry Dehere",0.996
"Terry Mills",0.12
"Terry Porter",0.241
"Terry Rozier",0.652
"Thabo Sefolosha",-0.29
"Thaddeus Young",-0.47
"Thanasis Antetokounmpo",0.851
"Theo Maledon",-0.689
"Theo Pinson",0.235
"Theo Ratliff",0.461
"Thomas Bryant",0.31
"Thomas Robinson",0.93
"Thon Maker",-0.068
"Tiago Splitter",0.15
"Tierre Brown",0.718
"Tim Duncan",0.265
"Tim Frazier",-0.276
"Tim Hardaway",0.901
"Tim Hardaway Jr.",-0.368
"Tim James",-0.988
"Tim Legler",0.325
"Tim Thomas",-0.224
"Timofey Mozgov",0.217
"Timothe Luwawu-Cabarrot",-0.194
"TJ Warren",-0.289
"Tobias Harris",-0.121
"Todd Day",-0.394
"Todd Fuller",-0.984
"Todd MacCulloch",0.863
"Tom Gugliotta",0.809
"Tom Hammonds",-0.987
"Tomas Satoransky",0.409
"Toney Douglas",-0.32
"Toni Kukoc",-0.207
"Tony Allen",0.724
"Tony Battie",0.027
"Tony Bradley",-0.207
"Tony Delk",-0.62
"Tony Massenburg",0.434
"Tony Parker",0.711
"Tony Smith",-0.982
"Tony Snell",-0.758
"Tony Wroten",-0.244
"Torrey Craig",0.819
"Tracy McGrady",0.505
"Tracy Murray",0.536
"Trae Young",0.972
"Trajan Langdon",-0.73
"Travis Best",0.724
"Travis Diener",0.731
"Travis Knight",0.257
"Travis Outlaw",0.14
"Tre Jones",-0.993
"Tremaine Fowlkes",0.502
"Tremont Waters",0.297
"Trent Forrest",0.721
"Trenton Hassell",0.439
"Treveon Graham",-0.587
"Trevor Ariza",-0.096
"Trevor Booker",-0.092
"Trey Burke",-0.356
"Trey Johnson",-1
"Trey Lyles",-0.416
"Tristan Thompson",-0.866
"Troy Brown Jr.",-0.574
"Troy Daniels",0.285
"Troy Hudson",-0.065
"Troy Murphy",0.046
"Troy Williams",0.324
"Ty Jerome",-0.371
"Ty Lawson",0.4
"Tyler Cook",0.97
"Tyler Dorsey",0.964
"Tyler Ennis",-0.46
"Tyler Hansbrough",-0.844
"Tyler Herro",0.725
"Tyler Johnson",0.636
"Tyler Ulis",0.998
"Tyler Zeller",-0.674
"Tyreke Evans",-0.152
"Tyrese Haliburton",0.993
"Tyrese Maxey",-0.001
"Tyrone Corbin",0.058
"Tyrone Hill",-0.279
"Tyrone Nesby",0.038
"Tyrone Wallace",0.571
"Tyronn Lue",0.06
"Tyrus Thomas",-0.742
"Tyson Chandler",-0.482
"Tyus Edney",0.022
"Tyus Jones",-0.148
"Udoka Azubuike",0.168
"Udonis Haslem",0.664
"Vander Blue",0.99
"Vernon Carey Jr.",0.989
"Vernon Maxwell",0.349
"Victor Claver",0.88
"Victor Oladipo",0.151
"Viktor Khryapa",-0.83
"Vin Baker",0.371
"Vince Carter",0.232
"Vinny Del Negro",-0.955
"Vitaly Potapenko",-0.108
"Vlade Divac",0.766
"Vladimir Radmanovic",0.059
"Vladimir Stepania",-0.437
"Vlatko Cancar",-0.741
"Von Wafer",-0.76
"Vonteego Cummings",0.899
"Voshon Lenard",-0.807
"Wade Baldwin IV",-0.859
"Wally Szczerbiak",-0.352
"Walt Williams",0.533
"Walter Herrmann",0.048
"Walter McCarty",-0.678
"Wang Zhi-zhi",-0.2
"Wayne Ellington",-0.319
"Wayne Selden",0.853
"Wendell Carter Jr.",0.261
"Wenyen Gabriel",-0.109
"Wes Iwundu",0.656
"Wesley Johnson",0.261
"Wesley Matthews",0.621
"Wesley Person",0.36
"Will Barton",0.091
"Will Bynum",-0.194
"Will Conroy",0.501
"Will Perdue",-0.627
"William Avery",-0.502
"Willie Burton",0.226
"Willie Cauley-Stein",-0.072
"Willie Green",-0.452
"Willie Reed",-0.296
"Willy Hernangomez",0.031
"Wilson Chandler",-0.131
"Xavier Henry",0.875
"Yakhouba Diawara",0.035
"Yao Ming",0.451
"Yi Jianlian",-0.504
"Yogi Ferrell",-0.609
"Yuta Watanabe",-0.557
"Zach Collins",0.684
"Zach LaVine",0.355
"Zach Randolph",-0.098
"Zan Tabak",-0.161
"Zarko Cabarkapa",0.271
"Zaza Pachulia",-0.216
"Zeke Nnaji",0.691
"Zeljko Rebraca",-0.338
"Zendon Hamilton",-0.488
"Zion Williamson",-0.95
"Zoran Planinic",0.596
"Zydrunas Ilgauskas",0.027
